collection,date_text,date_qualifier,date_single,date_range_end,extent_physical,form,form_authority,form_URI,identifier,language,name 1,name_authority 1,name_authority_URI 1,name_role 1,name_role_authority 1,name_role_URI 1,name 2,name_authority 2,name_role 2,name_role_authority 2,name_role_URI 2,place_of_origin 1,place_of_origin_URI 1,place_of_origin 2,place_of_origin_URI 2,project_title,note,note 2,record_source,repository,rights,collection_identifier,subject_geographic,subject_geographic_authority,subject_geographic_URI,subject_geographic_coordinates,subject_name 1,subject_name_authority 1,subject_name_URI 1,subject_name 2,subject_name_authority 2,subject_name_URI 2,subject_name 3,subject_name_authority 3,subject_name_URI 3,subject_topical 1,subject_topical_authority 1,subject_topical_URI 1,subject_topical 2,title_initial_article,title_of_work
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1493,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Kefauver and another man stand in front of a naval control tower
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1497,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,,,,,,,,,,Family,lcsh,http://id.loc.gov/authorities/subjects/sh00005743,,A,Victorian family stand in front of their house
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1499,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Madisonville (Tenn.),http://id.loc.gov/authorities/names/n85081939,,,Estes Kefauver Image Collection,"Aunt, a Ms. Welsh, and Uncle AC Estes, Madisonville, circa 1910, “Old Pie” Family pony",Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Madisonville (Tenn.),naf,http://id.loc.gov/authorities/names/n85081939,"35.51972N, 84.36361W",,,,,,,,,,Family,lcsh,http://id.loc.gov/authorities/subjects/sh00005743,,A,Victorian family sit in a small horse-drawn buggy
"Estes Kefauver Papers, 1925 - 1967",1908,,1908,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1501,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,Left – Sen. Kefauver – age 5 years – right – brother of Sen. Kefauver – Robert Kefauver – age 7 years – Center – Senator's Sister – Nancy – and Sen.'s mother,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,Family,lcsh,http://id.loc.gov/authorities/subjects/sh00005743,,,"Young Estes Kefauver with mother, brother and sister"
"Estes Kefauver Papers, 1925 - 1967",1907,,1907,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1503,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,Senator – Left – 4 Brother Robert Cooke Kefauver - 6,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,Family,lcsh,http://id.loc.gov/authorities/subjects/sh00005743,,,Young Estes Kefauver poses on outcropping with his older brother Robert
"Estes Kefauver Papers, 1925 - 1967",1923,,1923,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1505,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Hot Springs (Ark.),http://id.loc.gov/authorities/names/n82020480,,,Estes Kefauver Image Collection,"Sister, Nancy Mother, Phredonia Kefauver; Sister Nora, Hot Springs",,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Arkansas,naf,http://id.loc.gov/authorities/names/n79034503,"34.75028N, 92.50027W","Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,Family,lcsh,http://id.loc.gov/authorities/subjects/sh00005743,,,Estes Kefauver as young man poses with sisters and mother
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1507,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,Estes – Mother – Nancy – Robert,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,Family,lcsh,http://id.loc.gov/authorities/subjects/sh00005743,,,"Young Estes Kefauver with mother, brother and sister"
"Estes Kefauver Papers, 1925 - 1967",1923,,1923,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1509,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,"Mother Phredonia; Senator, 20,",,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,Family,lcsh,http://id.loc.gov/authorities/subjects/sh00005743,,,Estes Kefauver as young man poses with sisters and mother
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1511,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Arkansas,http://id.loc.gov/authorities/names/n79034503,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Arkansas,naf,http://id.loc.gov/authorities/names/n79034503,"34.75028N, 92.50027W","Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,Family,lcsh,http://id.loc.gov/authorities/subjects/sh00005743,,,Estes Kefauver with his sisters Nancy and Nora
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1519,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,Family,lcsh,http://id.loc.gov/authorities/subjects/sh00005743,,,"Estes Kefauver, holding golf clubs and briefcase, stands with his mother"
"Estes Kefauver Papers, 1925 - 1967",1915,,1915,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1553,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,"Nancy, Estes and Nora Kefauver, about 1915",,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,Family,lcsh,http://id.loc.gov/authorities/subjects/sh00005743,,,"Nancy, Estes, and Nora Kefauver"
"Estes Kefauver Papers, 1925 - 1967",11/1/1962,,1962-11-01,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1578,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,Family,lcsh,http://id.loc.gov/authorities/subjects/sh00005743,,,Estes Kefauver and family
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1580,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,Family,lcsh,http://id.loc.gov/authorities/subjects/sh00005743,,,Estes Kefauver and family
"Estes Kefauver Papers, 1925 - 1967",1919,,1919,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1582,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,Family,lcsh,http://id.loc.gov/authorities/subjects/sh00005743,,,Studio Portrait of Estes Kefauver at age 18
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1584,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,Family,lcsh,http://id.loc.gov/authorities/subjects/sh00005743,,,Estes Kefauver and family
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1586,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,Kefauver & MG Cantor(?),Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver and another man look at documents on desk
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1605,zxx,"Bailey, Gene",,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,Family,lcsh,http://id.loc.gov/authorities/subjects/sh00005743,,,Estes and Nancy Kefauver with children
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1619,zxx,"Cravens, Don",,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,Family,lcsh,http://id.loc.gov/authorities/subjects/sh00005743,,,"Estes, Nancy and Family at Dinner Table"
"Estes Kefauver Papers, 1925 - 1967",1954,,1954,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1631,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Roan Mountain (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh90004196,,,Estes Kefauver Image Collection,"On Roan Mountain, Sunday, June 20, 1954.",,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Roan Mountain (N.C. and Tenn.),lcsh,http://id.loc.gov/authorities/subjects/sh90004196,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver speaks to crowd at Roan Mountain
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1641,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,,,,,,,,,,Campaigns,lcsh,http://id.loc.gov/authorities/subjects/sh99004832,,,"Boy stands with sign, “Ben Hogan for President. If we must have a golfer, let's have a good one!"""
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1647,zxx,"Kobe, Albin",,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver stands with unidentified group at party
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1649,zxx,Lendinez,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Spain,http://id.loc.gov/authorities/names/n79006971,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Spain,naf,http://id.loc.gov/authorities/names/n79006971,"40.00000N, 4.00000W","Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,"Kefauver, Nancy, 1912-1967",naf,http://id.loc.gov/authorities/names/no2008122950,,,,,,,,,Estes and Nancy Kefauver in the stands watching a bullfight in Spain
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1655,zxx,"Weber, Harry",,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver sits with other men at a social event
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1659,zxx,Lendinez,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Spain,http://id.loc.gov/authorities/names/n79006971,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Spain,naf,http://id.loc.gov/authorities/names/n79006971,"40.00000N, 4.00000W",,,,,,,,,,,,,,A,matador throws his hat as other men groom the ring
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1661,zxx,Lendinez,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Spain,http://id.loc.gov/authorities/names/n79006971,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Spain,naf,http://id.loc.gov/authorities/names/n79006971,"40.00000N, 4.00000W","Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,"Kefauver, Nancy, 1912-1967",naf,http://id.loc.gov/authorities/names/no2008122950,,,,,,,,,Estes and Nancy Kefauver in the stands watching a bullfight in Spain
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1663,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Portrait of Estes Kefauver as a Young Man
"Estes Kefauver Papers, 1925 - 1967",1905,,1905,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1665,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,Estes Kefauver – about 2 years,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Portrait of Estes Kefauver as a Young Boy
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1669,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,"Senator at teen age – sent to him by Rodgers (Rook) Menzies, Dyersburg, Tennessee, 4/17/1953",Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Teenaged Estes Kefauver
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1671,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,Kefauver Steel(?),Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver as a Boy
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1687,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Monroe County (Tenn.),http://id.loc.gov/authorities/names/n80037799,,,Estes Kefauver Image Collection,"MONROE COUNTY (TENN.) CENTRAL HIGH SCHOOL YEARBOOK EDITORIAL STAFF – Estes Kefauver, Editor in Chief, top left. Other staff: Joe Coble, Josephine Penland, George Watson, Effie Carson, Willie Merle Ghormley",Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Monroe County (Tenn.),naf,http://id.loc.gov/authorities/names/n80037799,"35.45000N, 84.23333W","Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,"Monroe County Central High School Yearbook Staff, Estes Kefauver, Editor-in-Chief"
"Estes Kefauver Papers, 1925 - 1967",1920,,1920,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1689,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Monroe County (Tenn.),http://id.loc.gov/authorities/names/n80037799,,,Estes Kefauver Image Collection,,,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Monroe County (Tenn.),naf,http://id.loc.gov/authorities/names/n80037799,"35.45000N, 84.23333W","Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Monroe Country Central High School Baseball Team
"Estes Kefauver Papers, 1925 - 1967",1920,,1920,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1691,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,Monroe County (Tenn.),http://id.loc.gov/authorities/names/n80037799,,,Estes Kefauver Image Collection,"Monroe County Tennessee Central High School First Team in Basketball, 1919-1920 (From Yearbook:) KEFAUVER – Estes (Bill) is our “big center” whom we are all proud of. Bill is the youngest, yet the largest and heaviest man on the team. Even though he weighs 180 pounds he gets over the court easily and can almost stand and lay the ball in.Bill says he has never played against a center who has the reach on him. (Kefauver is standing on left)",,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,Monroe County (Tenn.),naf,http://id.loc.gov/authorities/names/n80037799,"35.45000N, 84.23333W","Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Monroe Country Central High School Basketball Team
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1693,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,"Return to Harve M. Duggins, atty.",Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver and other students stand in science classroom
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1695,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,"Return to Harve M. Duggins, atty.",Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver stands with other student tennis players
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1700,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver and other men sit on boat
"Estes Kefauver Papers, 1925 - 1967",[1925-1967?],inferred,1925,1967,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1712,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,,Dates inferred from Archival Collection dates,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver stands with two young people
"Estes Kefauver Papers, 1925 - 1967",8/6/1957,,1957-08-06,,1 photograph,photographs,aat,http://vocab.getty.edu/aat/300046300,KDP_1718,zxx,unknown,,,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,Estes Kefauver Image Collection,"Queen Linda Stamps, Sen Kefauver, Lady-in-Waiting Miss Pat Eanes, Aug 6, 1957.",,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",MPA.144,,,,,"Kefauver, Estes, 1903-1963",naf,http://id.loc.gov/authorities/names/n79144615,,,,,,,,,,,,Estes Kefauver receives kisses from a “queen” and another woman
