dc:identifier;dc:title;dc:date;dc:creator;dc:contributor;dc:description;dc:subject1;dc:subject2;dc:subject3;dc:coverage;dc:rights;dc:publisher;dc:source;dc:relation;dc:type;dc:format;dc:language
KDP_1451;Estes Kefauver, Cliff Gordon and Tex James stand in front of plane. Kefauver holds a connskin cap in one hand and with the other holds up a picture in a newspaper next to Tex James' face.;unknown;unknown;;Cliff Goodwin, Tex James, Sen. Kefauver Taken May 17, Redmund, Ore;Kefauver, Estes, 1903-1963;Coonskin Cap;;Oregon;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1457;Kefauver stands with Louise Wootten Parker;unknown;Wootten;;Louise Wootten Parker. Photograph by Wootten Jackson, Tennessee;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1463;Kefauver signs a book for two young men;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1467;Kefauver, wearing a Shriner's fez, addresses crowd from building steps at Catfish Derby event in Savannah Tennessee, July 29, 1957;1957-07-29;unknown;;Catfish Derby, Savannah, Tennessee;Kefauver, Estes, 1903-1963;;;Savannah (Tenn.);The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1471;Kefauver is filmed in KMTV news studios in Omaha Nebraska;unknown;Hudleson Studio;;TV Program stamp, Hudleson Studio Onawa Iowa stamp;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1480;Kefauver addresses crowd as boy in Indian headdress stands near;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1488;Kefauver sits at small table with young woman, possibly in Calcutta;1955-09-30;Aaron Joshua, Photographer, Chowringhee Centre, Calcutta;;Aaron Joshua, Photographer, Chowringhee Centre, Calcutta;Kefauver, Estes, 1903-1963;;;India;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1493;Kefauver and another man stand in front of a naval control tower;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1497;A Victorian family stand in front of their house;unknown;unknown;;;;Family;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1499;A Victorian family sit in a small horse-drawn buggy;unknown;unknown;;Aunt, a Ms. Welsh, and Uncle AC Estes, Madisonville, circa 1910, “Old Pie” Family pony;;Family;;Madisonville (Tenn.);The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1501;Young Estes Kefauver with mother, brother and sister;1908;unknown;;Left – Sen. Kefauver – age  5 years – right – brother of Sen. Kefauver – Robert Kefauver – age 7 years – Center – Senator's Sister – Nancy – and Sen.'s mother;Kefauver, Estes, 1903-1963;Family;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1503;Young Estes Kefauver poses on outcropping with his older brother Robert;1907;unknown;;Senator – Left – 4 Brother Robert Cooke Kefauver - 6;Kefauver, Estes, 1903-1963;Family;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1505;Estes Kefauver as young man poses with sisters and mother;1923;unknown;;"Sister, Nancy Mother, Phredonia Kefauver; Sister Nora, Hot Springs";Kefauver, Estes, 1903-1963;Family;;Arkansas;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1507;Young Estes Kefauver with mother, brother and sister;unknown;unknown;;Estes – Mother – Nancy – Robert;Kefauver, Estes, 1903-1963;Family;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1509;Estes Kefauver as young man poses with sisters and mother;1923;unknown;;"Mother Phredonia; Senator, 20,";Kefauver, Estes, 1903-1963;Family;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1511;Estes Kefauver with his sisters Nancy and Nora;unknown;unknown;;;Kefauver, Estes, 1903-1963;Family;;Arkansas;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1519;Estes Kefauver, holding golf clubs and briefcase, stands with his mother;unknown;unknown;;;Kefauver, Estes, 1903-1963;Family;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1553;Nancy, Estes, and Nora Kefauver;1915;unknown;;Nancy, Estes and Nora Kefauver, about 1915;Kefauver, Estes, 1903-1963;Family;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1578;Estes Kefauver and family;unknown;unknown;;November 1962;Kefauver, Estes, 1903-1963;Family;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1580;Estes Kefauver and family;unknown;unknown;;;Kefauver, Estes, 1903-1963;Family;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1582;Studio Portrait of Estes Kefauver at age 18;1919;unknown;;;Kefauver, Estes, 1903-1963;Family;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1584;Estes Kefauver and family;unknown;unknown;;;Kefauver, Estes, 1903-1963;Family;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1586;Estes Kefauver and another man look at documents on desk;unknown;unknown;;Kefauver & MG Cantor(?);Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1605;Estes and Nancy Kefauver with children;unknown;Gene Bailey;;;Kefauver, Estes, 1903-1963;Family;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1619;Estes, Nancy and Family at Dinner Table;unknown;Don Cravens;;;Kefauver, Estes, 1903-1963;Family;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1631;Estes Kefauver speaks to crowd at Roan Mountain;1954;unknown;;On Roan Mountain, Sunday, June 20, 1954.;Kefauver, Estes, 1903-1963;;;Roan Mountain (N.C. and Tenn.);The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1641;"Boy stands with sign, “Ben Hogan for President. If we must have a golfer, let's have a good one!""";unknown;unknown;;;Campaign;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1647;Estes Kefauver stands with unidentified group at party;unknown;Albin Kobe;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1649;Estes and Nancy Kefauver in the stands watching a bullfight in Spain;unknown;Lendinez;;;Kefauver, Estes, 1903-1963;Kefauver, Nancy, 1912-1967;;Spain;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1655;Estes Kefauver sits with other men at a social event;unknown;Harry Weber;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1659;A matador throws his hat as other men groom the ring;unknown;Lendinez;;;;;;Spain;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1661;Estes and Nancy Kefauver in the stands watching a bullfight in Spain;unknown;Lendinez;;;Kefauver, Estes, 1903-1963;Kefauver, Nancy, 1912-1967;;Spain;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1663;Portrait of Estes Kefauver as a Young Man;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1665;Portrait of Estes Kefauver as a Young Boy;1905;unknown;;Estes Kefauver – about 2 years;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1669;Teenaged Estes Kefauver;unknown;unknown;;Senator at teen age – sent to him by Rodgers (Rook) Menzies, Dyersburg, Tennessee, 4/17/1953;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1671;Estes Kefauver as a Boy;unknown;unknown;;Kefauver Steel(?);Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1687;Monroe County Central High School Yearbook Staff, Estes Kefauver, Editor-in-Chief;unknown;unknown;;MONROE COUNTY (TENN.) CENTRAL HIGH SCHOOL YEARBOOK EDITORIAL STAFF – Estes Kefauver, Editor in Chief, top left. Other staff: Joe Coble, Josephine Penland, George Watson, Effie Carson, Willie Merle Ghormley;Kefauver, Estes, 1903-1963;;;Monroe County (Tenn.);The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1689;Monroe Country Central High School Baseball Team;1920;unknown;;;Kefauver, Estes, 1903-1963;;;Monroe County (Tenn.);The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1691;Monroe Country Central High School Basketball Team;1920;unknown;;Monroe County Tennessee Central High School First Team in Basketball, 1919-1920  (From Yearbook:) KEFAUVER – Estes (Bill) is our “big center” whom we are all proud of. Bill is the youngest, yet the largest and heaviest man on the team. Even though he weighs 180 pounds he gets over the court easily and can almost stand and lay the ball in.Bill says he has never played against a center who has the reach on him. (Kefauver is standing on left);Kefauver, Estes, 1903-1963;;;Monroe County (Tenn.);The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1693;Estes Kefauver and other students stand in science classroom;unknown;unknown;;Return to Harve M. Duggins, atty.;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1695;Estes Kefauver stands with other student tennis players;unknown;unknown;;Return to Harve M. Duggins, atty.;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1700;Estes Kefauver and other men sit on boat;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1712;Estes Kefauver stands with two young people;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1718;Estes Kefauver receives kisses from a “queen” and another woman;1957-08-06;unknown;;Queen Linda Stamps, Sen Kefauver, Lady-in-Waiting Miss Pat Eanes, Aug 6, 1957.;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1723;Estes  Kefauver at National Association of County and Prosecuting Attorneys, at Moraine-on-the-Lake, Highland Park, Illinois;1951-11-18;unknown;;Aug 11th 1951 National Association of County and Prosecuting Attorneys, at Moraine-on-the-Lake, Highland Park, Illinois;Kefauver, Estes, 1903-1963;;;Illinois;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1725;Estes Kefauver and Girl;1951-07-14;unknown;;Jackson, Tenn. July 14, 1951;Kefauver, Estes, 1903-1963;;;Jackson (Tenn.);The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1727;Estes Kefauver stands outside of building;unknown;unknown;;Grocery list;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1729;Estes Kefauver with Sir Cyril Osborne, MP London, and Mr Audland, British Embassy;unknown;unknown;;"Mr. Audland, British Embassy; Sir Cyril Osbourne, MP, London; Sen. Estes Kefauver";Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1731;Estes Kefauver and boys eat watermelon as man snaps photograph;unknown;unknown;;Kefauver at Cyphers(?) Gallery (?);Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1733;Estes and Nancy Kefauver visits a shop where women are packing cheeses;unknown;unknown;;;Kefauver, Estes, 1903-1963;Kefauver, Nancy, 1912-1967;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1735;Estes Kefauver and recording equipment;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1741;Estes Kefauver at breakfast with newspaper;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1743;Estes Kefauver and other man ride on carousel;unknown;unknown;;From Donald Kelso – Fayetteville;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1747;Estes Kefauver and woman relax by pool;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1750;Estes Kefauver greeting someone outside Corvair-Liner building;unknown;Clark Irvine;;“How are you?” Photo by Clark Irvine, Alpine Calif;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1754;Estes Kefauver and others at UPWA Local 46, Waterloo, Iowa;1956-10;unknown;;Office Farce(?) Local 46 UPWA Waterloo, Iowa, October 1956. Written 3/19/57;Kefauver, Estes, 1903-1963;;;Iowa;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1756;Estes Kefauver and Charles City, Iowa, mayor Mike Michaels (?) at UPWA Local 46, Waterloo, Iowa;1956-10;unknown;;Senator Kefauver, Mayor Mike Michaels (?), Charles City, Iowa, Local 46 UPWA Waterloo Iowa”;Kefauver, Estes, 1903-1963;;;Iowa;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1759;Estes Kefauver and Mike Michaels (2) and an unidentified man;1959-03-19;unknown;;Mayor:written 3/19/59 Mike Michaels Charles City,Iowa October 1956 ran 3rd Congman against H.R. Gross, and defeated;Kefauver, Estes, 1903-1963;;;Iowa;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1761;Estes Kefauver and Bill Wettergal at UPWA Local 46 Waterloo,Iowa;1959-03-19;unknown;;Larry Democrat Bill Wettergal Senator Kefauver Local 46 UPWA Waterloo,Iowa written 3/19/1959;Kefauver, Estes, 1903-1963;;;Iowa;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1773;Picture of Theron J. Johnson;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1775;Estes Kefauver with a group of children;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1795;Estes Kefauver family portrait;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1807;Estes Kefauver and Beel Hoges(?);1956;unknown;;Beel Hoges (?) and me at Proui (?) ile-1956;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1811;Nancy Kefauver and Unidentified Woman;unknown;unknown;;;Kefauver, Nancy, 1912-1967;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1813;Estes and Nancy Kefauver;1950-07-17;unknown;;;Kefauver, Estes, 1903-1963;Kefauver, Nancy, 1912-1967;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1815;Portrait of Kefauver Family;unknown;unknown;;;Kefauver, Estes, 1903-1963;Family;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1821;Portrait of Estes Kefauver Family;unknown;unknown;;;Kefauver, Estes, 1903-1963;Family;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1845;Estes Kefauver and Mrs.Neese;1956-09-19;unknown;;Best Wishes Dr.Estes From May Neese Stouhope,Iowa Mrs.Neese wants Henri to see this September 19,1956;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1847;Nancy Kefauver;unknown;unknown;;;Kefauver, Nancy, 1912-1967;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1849;Estes Kefauver with unidentified man and woman;unknown;unknown;;;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1851;Estes Kefauver in Virginia;1960-08;unknown;;EK- Virginia August 1960;Kefauver, Estes, 1903-1963;;;Virginia;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1857;Estes Kefauver and two unidentified men in Virginia;1960-08;unknown;;Virginia Beach August 1960;Kefauver, Estes, 1903-1963;;;Virginia;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
KDP_1861;Estes Kefauver,J. Howard McGrath, and Edward Lamb in front of painting;unknown;unknown;;Senator Estes Kefauver Edward Lamb Painting of “Woman Taken in Adultery” by Rubene J.Howard McGrath;Kefauver, Estes, 1903-1963;;;;The copyright interests for this photograph remain with the creator. For more information, contact Special Collections at special@utk.edu. ;The University of Tennessee Libraries, Knoxville ;Estes Kefauver Papers, MPA.144. The University of Tennessee Libraries, Special Collections, Knoxville;;;;
